,teamname,teamid
0,/,00oc4ota0cio
1,6Billion,08wrdaw34qk5
2,999,0e3opso1exq3
3,AAA全球可猎,1dcalve12jo8
4,Align to Zhihu,1h6b90wb6cvq
5,BurytheEcho,250uviu3cdh1
6,Carus,37uhyw0o0bdf
7,ETH,3my74ugbva45
8,HKing,3p5ybvwj8l7h
9,Handicap,3y8tbt7ih2dt
10,Hope,49h6u1dvq2nk
11,Horus,4g4zakvya1b0
12,HumanAI,4q12w3s2fyms
13,Louisxyoung,4xmipjuxatp2
14,Mobsby,5gwg20isp9i5
15,NEO,5stg7c288o0n
16,Ninexflux,6lo9xryqsxba
17,ParallelQuant,6nlnkap8uwi6
18,Phoebe,6o3ag1e1hwh2
19,Progress,6o3uamg0cvco
20,QuantRecog,6p92t7fi9rx1
21,Random Walk,753c8h4qamq8
22,Run5,8bfr5fa0qvmz
23,SSII,8c6q8qsbwot8
24,Shallow learning,8hqz5xsxl1r9
25,Supernova,8w25ae0ompjp
26,TeamName,99g7zr35sdb1
27,TimeTells,9b5k9jze9knf
28,Toddler,9ihnbxn0bbd9
29,Try to One,9y09oe8li8yx
30,X7X7,aceim54318b0
31,YourGO!!!,b0z2bigr09ot
32,ai风暴,bho088uxuipd
33,aloha,bvo0tfi3o60g
34,ame_whatsoever,c2isc71joie8
35,cyber,cdxrun1fqe1o
36,faustyang,ch6sm6re271q
37,march,cw34w2oi2vzk
38,moreisdifferent,d1xcdis7vec8
39,seed(****) is all you need,d82sbx0oao6g
40,shanshan是头小猪猪,dnf32iajuj31
41,stian,eooxy3tqlcrk
42,test,eopk9svxd96u
43,try_try_this,fspr27sgu487
44,whitegive,g79tvuma8fxm
45,worldQ,gi09qexe5sn7
46,xiaoxiao,gxz9xttp87ge
47,xuan,h98xwu3jobii
48,全都,hv7pewyx7cfk
49,共用电子队,hxlpn281hd65
50,冬季两项,igbcmyg89as4
51,冰原上的终结,ilmunas6bpn1
52,划水摸鱼,j5gzacw9ajhg
53,千米基金,j6mzw3ittds5
54,名字取得队,j80bi3me1i57
55,吐泡泡,jj84hifn9yzy
56,啊对对对,jjyyivrjb1mp
57,啊对对队,joisz4yd4yd2
58,回声之子,kf6r322toatt
59,国关孤狼,ki07qqsbbfk4
60,图南,kiwivfjnc52b
61,圪僚沟,ks6efo3vcsfa
62,坤坤猎手,ktfg1ixijy85
63,对对队,libms897ww51
64,小叮当,lloc4npi17p3
65,小白要努力,lpax2ja8immg
66,小白队,mz7f6f3xzdes
67,小老正,n75ifpwrkmps
68,小趴菜,nfxrw4v95lck
69,我们两个真厉害,nhroo94ub0bx
70,摆烂鹅,nmzq7vqawuej
71,数猎先锋（Data Hunter）,nobiq17o5wcw
72,暂,o5hc7rhdftac
73,果维C,otxka1kf3jlu
74,森之宝,phg41g4gowzd
75,水水水,qck9g2w8re51
76,波兰菠菜分不清,qkqi78mnl6hc
77,海淀区第一铁混子,qohrihum4kk9
78,烟酒生队友说他看不懂论文,qutmmzxlqz0o
79,爱在深秋,r0j6xcruoztr
80,独钓寒江雪,r3xotj0jv4uh
81,猫猫对,rsvjnztyddwm
82,玩转华尔街（写不出leetcode版）,subc1c9nuzk6
83,种地,tpj0328rcin6
84,空空,tydb8pe3s8ht
85,笨蕉蕉,ujjwmjn1vxeq
86,笨蛋想吃牛肉,unfayt6sey3n
87,肯德基爷爷，交交我！,uphjz53balte
88,胖虎别墅,uziseuq6qhr5
89,蒙特卡洛不会树搜索,v7627tvh701h
90,财富自由,vpvyeqpomisr
91,赵茗轩,vutl6ca5e6p8
92,这次也没想好叫什么队,wu6k902mny9l
93,青柑普洱队,xii9dxzxmfco
94,非理性预期,xmgv4726k938
95,顺利完赛就是胜利,xxxqgro5j8ek
96,高等离散,yexmsspq5gu7
97,魅影之纱,ylb6rsoohknm
98,鱼上钩了,yz3cb1flyoda
99,黑棉花悟能,zh4ecmr5168b
